bts_id,power_id,distance_km,total_time_hr,travel_cost_vnd,total_cost_vnd,total_travel_cost_vnd,note
BTS_05498,POWER_0135,19.02460804623057,0.3984283138962401,70588.05323716275,158751.05323716276,70588.05323716275,
BTS_05592,POWER_0001,48.83885485615507,1.0357795354801478,198929.86035230156,1878929.8603523015,198929.86035230156,
BTS_05616,POWER_0099,33.8424441530746,0.7294588449196572,153880.76877137244,1833880.7687713725,153880.76877137244,
BTS_05637,POWER_0081,65.19145886120248,1.3038291772240496,157831.95303238495,1837831.9530323849,157831.95303238495,"fallback_no_path: No path between (107.231027, 16.272654) and (107.825972, 16.40755)."
BTS_05686,POWER_0136,44.93305356632196,0.8986610713264391,108785.28758162158,196948.28758162158,108785.28758162158,"fallback_no_path: No path between (107.507786, 16.574283) and (107.255336, 16.249396)."
BTS_05694,POWER_0145,41.021513541280775,0.8615984307961468,155614.50769122245,1835614.5076912225,155614.50769122245,
BTS_05765,POWER_0118,7.180956450736304,0.143619129014726,17385.473512308952,105548.47351230895,17385.473512308952,
BTS_05780,POWER_0137,23.03968885441164,0.4784437092634297,79917.35570114735,168080.35570114735,79917.35570114735,
BTS_05825,POWER_0025,76.17127885586773,1.6331276790420244,334437.1110024169,2014437.1110024168,334437.1110024169,
BTS_05833,POWER_0006,21.3379322852261,0.4518605258106491,85988.17911638267,174151.17911638267,85988.17911638267,
BTS_05863,POWER_0036,40.33115578474439,0.8861157125469675,206353.4635599002,294516.4635599002,206353.4635599002,
BTS_05869,POWER_0102,17.272259258491545,0.3633813381414595,66345.52459316305,154508.52459316305,66345.52459316305,
BTS_05909,POWER_0033,36.27687277571432,0.7978913987531092,186775.4090967511,274938.40909675113,186775.4090967511,
BTS_05919,POWER_0150,29.265172494718488,0.5853034498943698,70852.52288195003,1750852.52288195,70852.52288195003,"fallback_no_path: No path between (107.231027, 16.272654) and (107.379507, 16.492917)."
BTS_05955,POWER_0092,48.178753514255774,1.0407839628877291,222229.84497089536,310392.8449708953,222229.84497089536,
BTS_06098,POWER_0074,27.414056931327657,0.5664944167404229,91278.33132455002,179441.33132455003,91278.33132455002,
BTS_06150,POWER_0030,15.277413682823656,0.3259512124967395,64889.33633032363,153052.33633032363,64889.33633032363,
BTS_06161,POWER_0047,44.85405310160287,0.9689934925763836,206937.42612195405,295100.42612195405,206937.42612195405,
BTS_06169,POWER_0098,90.41906268749908,1.897674717081516,341022.0371503162,2021022.0371503162,341022.0371503162,
BTS_06172,POWER_0011,15.400852280491796,0.3330286825781248,71490.78449800008,159653.78449800008,71490.78449800008,
BTS_06201,POWER_0115,17.53257085044009,0.3765701346075313,77892.25989792433,1757892.2598979243,77892.25989792433,
BTS_06204,POWER_0017,35.246957931053466,0.71443736991932,98323.96079270206,186486.96079270204,98323.96079270206,
BTS_06333,POWER_0075,19.58772182833432,0.4071397511215502,68462.99792739934,1748462.9979273994,68462.99792739934,
BTS_06342,POWER_0056,17.66411064981029,0.378175575570542,76808.5067077779,164971.5067077779,76808.5067077779,
BTS_06351,POWER_0003,18.905468861021298,0.4322644851797354,119830.6204955987,207993.6204955987,119830.6204955987,
BTS_06355,POWER_0107,43.41551279770629,0.9368693728447428,198868.84083696545,287031.8408369655,198868.84083696545,
BTS_06356,POWER_0086,30.60319727155339,0.6413055890231424,114081.18142941316,1794081.1814294131,114081.18142941316,
BTS_06361,POWER_0083,15.836718566198533,0.3205857370558161,43608.440718118654,131771.44071811865,43608.440718118654,
BTS_06398,POWER_0095,26.41100044089088,0.5618813270185975,109975.75113322244,1789975.7511332224,109975.75113322244,
BTS_06408,POWER_0010,43.15789203624831,0.9289621903894272,194477.8624095963,1874477.8624095963,194477.8624095963,
BTS_06436,POWER_0027,52.145369570386485,1.0429073914077298,126246.68422304095,214409.68422304094,126246.68422304095,"fallback_no_path: No path between (107.71151, 16.440107) and (107.29747, 16.19232)."
BTS_06455,POWER_0125,40.53081743220515,0.8106163486441029,98127.24220428614,1778127.2422042862,98127.24220428614,"fallback_no_path: No path between (107.231027, 16.272654) and (107.578148, 16.418077)."
BTS_06458,POWER_0078,18.970410919855464,0.3973443713687377,70456.83914172828,158619.8391417283,70456.83914172828,
BTS_06460,POWER_0013,19.590803254968705,0.4316736715592537,101937.39074970696,1781937.390749707,101937.39074970696,
BTS_06466,POWER_0109,25.52972559481615,0.5766604706450458,152156.90555346536,1832156.9055534652,152156.90555346536,
BTS_06471,POWER_0108,10.950834478782753,0.2642947551158947,88432.28713918783,176595.28713918783,88432.28713918783,
BTS_06475,POWER_0041,30.573279948752948,0.6348807419170491,106040.75482905282,1786040.7548290528,106040.75482905282,
BTS_06476,POWER_0139,61.598466372315166,1.2961609106717116,236917.93459298307,325080.9345929831,236917.93459298307,
BTS_06477,POWER_0040,70.67801162079266,1.5215305093024905,318769.2752102252,1998769.2752102253,318769.2752102252,
BTS_06480,POWER_0130,13.326943260751024,0.3097472999231201,91354.66062245629,1771354.6606224563,91354.66062245629,
BTS_06489,POWER_0053,32.0139245494747,0.6776449453534922,128607.66150002024,1808607.6615000202,128607.66150002024,
